iter	Passed	Remaining
550	4708	38021
551	4716	38005
552	4724	37990
553	4732	37976
554	4740	37967
555	4748	37954
556	4756	37944
557	4765	37934
558	4773	37920
559	4781	37906
560	4789	37894
561	4797	37884
562	4805	37870
563	4813	37857
564	4821	37843
565	4828	37829
566	4837	37818
567	4845	37807
568	4852	37790
569	4861	37781
570	4869	37767
571	4877	37755
572	4885	37749
573	4894	37743
574	4902	37730
575	4910	37718
576	4938	37854
577	4947	37849
578	4955	37840
579	4964	37829
580	4972	37819
581	4981	37811
582	4990	37812
583	4998	37799
584	5007	37789
585	5015	37778
586	5023	37766
587	5031	37755
588	5039	37743
589	5048	37731
590	5055	37717
591	5063	37701
592	5071	37691
593	5080	37683
594	5088	37674
595	5097	37664
596	5105	37656
597	5113	37643
598	5121	37628
599	5129	37614
600	5136	37599
601	5145	37594
602	5153	37581
603	5162	37572
604	5170	37557
605	5177	37543
606	5186	37533
607	5193	37519
608	5202	37509
609	5210	37495
610	5218	37483
611	5226	37474
612	5234	37461
613	5242	37449
614	5250	37436
615	5258	37422
616	5266	37409
617	5274	37402
618	5282	37390
619	5290	37375
620	5298	37362
621	5306	37351
622	5314	37340
623	5322	37328
624	5331	37318
625	5340	37313
626	5348	37303
627	5357	37298
628	5366	37293
629	5374	37281
630	5382	37270
631	5391	37264
632	5400	37258
633	5409	37249
634	5417	37242
635	5426	37234
636	5434	37224
637	5442	37210
638	5450	37196
639	5457	37182
640	5466	37175
641	5474	37162
642	5483	37153
643	5491	37142
644	5499	37134
645	5507	37121
646	5515	37110
647	5524	37100
648	5532	37088
649	5540	37079
650	5548	37067
651	5556	37057
652	5564	37045
653	5572	37033
654	5581	37023
655	5589	37011
656	5597	37003
657	5605	36989
658	5613	36979
659	5622	36970
660	5630	36957
661	5637	36943
662	5645	36930
663	5654	36923
664	5662	36912
665	5670	36903
666	5678	36891
667	5687	36883
668	5695	36870
669	5703	36859
670	5711	36846
671	5719	36837
672	5727	36827
673	5736	36820
674	5744	36810
675	5752	36797
676	5760	36785
677	5768	36772
678	5776	36761
679	5784	36748
680	5792	36735
681	5800	36722
682	5807	36709
683	5816	36701
684	5824	36690
685	5832	36681
686	5840	36668
687	5848	36655
688	5856	36643
689	5864	36629
690	5872	36620
691	5880	36610
692	5889	36601
693	5897	36589
694	5904	36576
695	5912	36564
696	5933	36628
697	5954	36699
698	5963	36694
699	5972	36685
700	5980	36678
701	5989	36672
702	5997	36659
703	6006	36653
704	6014	36641
705	6022	36632
706	6031	36621
707	6039	36612
708	6047	36601
709	6055	36589
710	6064	36580
711	6071	36566
712	6080	36558
713	6088	36549
714	6096	36537
715	6105	36528
716	6113	36517
717	6121	36507
718	6129	36494
719	6137	36485
720	6145	36474
721	6153	36463
722	6161	36451
723	6169	36437
724	6178	36433
725	6186	36422
726	6195	36411
727	6204	36406
728	6212	36394
729	6220	36386
730	6229	36377
731	6237	36370
732	6246	36360
733	6254	36352
734	6262	36340
735	6271	36330
736	6278	36319
737	6287	36307
738	6295	36297
739	6303	36287
740	6311	36274
741	6318	36260
742	6326	36246
743	6334	36237
744	6343	36227
745	6351	36219
746	6359	36210
747	6367	36198
748	6375	36187
749	6385	36183
750	6393	36172
751	6401	36161
752	6409	36149
753	6417	36136
754	6425	36125
755	6434	36123
756	6442	36110
757	6450	36101
758	6458	36088
759	6466	36074
760	6474	36063
761	6482	36053
762	6490	36040
763	6498	36032
764	6506	36021
765	6514	36009
766	6523	36000
767	6532	35994
768	6540	35983
769	6549	35977
770	6557	35967
771	6565	35956
772	6573	35947
773	6581	35935
774	6589	35922
775	6597	35911
776	6605	35899
777	6613	35890
778	6621	35878
779	6629	35868
780	6638	35858
781	6645	35847
782	6654	35837
783	6662	35828
784	6670	35818
785	6679	35809
786	6687	35798
787	6694	35785
788	6702	35774
789	6711	35764
790	6718	35751
791	6727	35742
792	6735	35733
793	6743	35721
794	6751	35713
795	6760	35703
796	6768	35694
797	6776	35681
798	6783	35668
799	6791	35657
800	6800	35647
801	6809	35642
802	6817	35631
803	6825	35623
804	6834	35616
805	6842	35604
806	6850	35591
807	6857	35579
808	6865	35567
809	6873	35556
810	6881	35543
811	6889	35532
812	6897	35522
813	6905	35510
814	6913	35499
815	6921	35490
816	6945	35562
817	6966	35614
818	6974	35602
819	6983	35598
820	6991	35586
821	6999	35577
822	7008	35568
823	7016	35557
824	7024	35550
825	7032	35537
826	7040	35526
827	7049	35518
828	7057	35506
829	7065	35495
830	7072	35482
831	7081	35473
832	7088	35461
833	7097	35451
834	7105	35443
835	7113	35432
836	7122	35423
837	7130	35413
838	7138	35404
839	7146	35393
840	7154	35380
841	7162	35369
842	7170	35357
843	7178	35345
844	7185	35333
845	7193	35320
846	7201	35310
847	7209	35300
848	7218	35292
849	7226	35281
850	7234	35272
851	7242	35260
852	7250	35248
853	7258	35237
854	7266	35228
855	7274	35216
856	7282	35207
857	7290	35196
858	7299	35186
859	7307	35176
860	7315	35167
861	7323	35158
862	7331	35147
863	7339	35135
864	7347	35124
865	7355	35113
866	7363	35100
867	7371	35089
868	7379	35080
869	7387	35069
870	7396	35063
871	7404	35051
872	7412	35040
873	7420	35032
874	7429	35022
875	7437	35015
876	7446	35009
877	7454	34998
878	7462	34986
879	7470	34974
880	7478	34966
881	7487	34956
882	7495	34947
883	7503	34937
884	7511	34927
885	7520	34918
886	7527	34906
887	7536	34897
888	7543	34885
889	7551	34873
890	7559	34863
891	7567	34853
892	7575	34842
893	7583	34830
894	7591	34819
895	7599	34810
896	7607	34799
897	7616	34790
898	7625	34783
899	7632	34772
900	7640	34761
901	7649	34751
902	7657	34740
903	7664	34729
904	7673	34721
905	7681	34712
906	7689	34700
907	7697	34689
908	7706	34682
909	7713	34668
910	7721	34658
911	7729	34647
912	7737	34638
913	7745	34627
914	7754	34619
915	7762	34608
916	7770	34597
917	7778	34588
918	7786	34577
919	7794	34567
920	7802	34558
921	7810	34546
922	7818	34536
923	7827	34527
924	7835	34518
925	7844	34513
926	7853	34504
927	7861	34496
928	7870	34488
929	7878	34478
930	7886	34466
931	7893	34455
932	7901	34444
933	7909	34434
934	7918	34426
935	7926	34415
936	7934	34405
937	7958	34465
938	7982	34521
939	7990	34510
940	7999	34505
941	8007	34494
942	8015	34485
943	8024	34477
944	8032	34467
945	8040	34457
946	8050	34456
947	8058	34444
948	8066	34433
949	8074	34421
950	8082	34412
951	8091	34403
952	8099	34395
953	8107	34385
954	8115	34373
955	8123	34364
956	8131	34354
957	8140	34345
958	8147	34333
959	8156	34323
960	8164	34315
961	8172	34306
962	8181	34296
963	8189	34286
964	8198	34281
965	8206	34271
966	8215	34262
967	8223	34254
968	8231	34242
969	8239	34231
970	8247	34220
971	8255	34209
972	8263	34199
973	8271	34190
974	8279	34179
975	8287	34167
976	8295	34157
977	8303	34147
978	8311	34137
979	8319	34128
980	8327	34117
981	8336	34108
982	8345	34103
983	8353	34093
984	8361	34081
985	8369	34072
986	8377	34062
987	8385	34051
988	8393	34040
989	8401	34031
990	8410	34023
991	8418	34014
992	8427	34006
993	8435	33996
994	8443	33986
995	8451	33977
996	8460	33968
997	8468	33958
998	8476	33949
999	8484	33939
1000	8492	33928
1001	8500	33917
1002	8508	33908
1003	8517	33898
1004	8525	33888
1005	8533	33878
1006	8540	33867
1007	8549	33858
1008	8557	33847
1009	8565	33837
1010	8573	33828
1011	8582	33820
1012	8589	33808
1013	8597	33797
1014	8606	33788
1015	8613	33777
1016	8621	33766
1017	8630	33759
1018	8639	33751
1019	8646	33739
1020	8655	33731
1021	8663	33721
1022	8671	33712
1023	8680	33702
1024	8688	33696
1025	8698	33690
1026	8705	33679
1027	8714	33670
1028	8721	33658
1029	8729	33647
1030	8738	33640
1031	8747	33633
1032	8756	33626
1033	8764	33617
1034	8772	33607
1035	8780	33597
1036	8788	33587
1037	8796	33577
1038	8805	33569
1039	8813	33560
1040	8822	33551
1041	8829	33539
1042	8837	33528
1043	8845	33517
1044	8853	33508
1045	8861	33498
1046	8869	33486
1047	8877	33476
1048	8885	33465
1049	8893	33455
1050	8901	33445
1051	8909	33436
1052	8917	33426
1053	8925	33414
1054	8932	33403
1055	8940	33392
1056	8948	33381
1057	8976	33444
1058	9002	33503
1059	9011	33495
1060	9019	33486
1061	9028	33477
1062	9036	33468
1063	9045	33460
1064	9054	33453
1065	9062	33444
1066	9070	33434
1067	9078	33423
1068	9086	33415
1069	9094	33404
1070	9102	33393
1071	9110	33383
1072	9118	33372
1073	9127	33366
1074	9135	33355
1075	9143	33344
1076	9151	33335
1077	9160	33326
1078	9168	33316
1079	9177	33309
1080	9185	33300
1081	9193	33291
1082	9202	33283
1083	9210	33273
1084	9219	33265
1085	9227	33255
1086	9237	33251
1087	9245	33243
1088	9253	33233
1089	9261	33224
1090	9270	33214
1091	9277	33203
1092	9285	33192
1093	9293	33182
1094	9301	33172
1095	9309	33162
1096	9318	33152
1097	9327	33147
1098	9335	33136
1099	9343	33128
1100	9351	33118
1101	9360	33109
1102	9368	33100
1103	9377	33091
1104	9385	33081
1105	9393	33071
1106	9400	33060
1107	9409	33051
1108	9417	33041
1109	9425	33033
1110	9434	33024
1111	9442	33014
1112	9450	33004
1113	9458	32994
1114	9466	32984
1115	9474	32974
1116	9482	32964
1117	9491	32955
1118	9498	32944
1119	9507	32938
1120	9515	32927
1121	9524	32918
1122	9532	32908
1123	9540	32899
1124	9548	32887
1125	9557	32881
1126	9565	32870
1127	9574	32865
1128	9582	32856
1129	9591	32847
1130	9599	32839
1131	9607	32828
1132	9616	32820
1133	9624	32810
1134	9632	32800
1135	9640	32792
1136	9649	32783
1137	9657	32775
1138	9666	32768
1139	9676	32763
1140	9685	32755
1141	9693	32747
1142	9704	32746
1143	9711	32734
1144	9719	32725
1145	9728	32717
1146	9736	32707
1147	9744	32697
1148	9753	32689
1149	9761	32679
1150	9769	32670
1151	9777	32660
1152	9786	32652
1153	9794	32642
1154	9802	32633
1155	9811	32624
1156	9819	32615
1157	9827	32606
1158	9836	32597
1159	9844	32588
1160	9852	32579
1161	9861	32571
1162	9869	32562
1163	9877	32552
1164	9885	32542
1165	9894	32533
1166	9902	32525
1167	9910	32514
1168	9918	32504
1169	9927	32496
1170	9935	32487
1171	9943	32477
1172	9951	32467
1173	9959	32458
1174	9967	32448
1175	9992	32493
1176	10026	32567
1177	10034	32556
1178	10042	32546
1179	10050	32536
1180	10059	32529
1181	10067	32520
1182	10076	32510
1183	10084	32502
1184	10093	32493
1185	10100	32482
1186	10108	32470
1187	10116	32460
1188	10124	32451
1189	10132	32442
1190	10140	32431
1191	10148	32420
1192	10156	32410
1193	10165	32402
1194	10173	32393
1195	10181	32384
1196	10189	32372
1197	10196	32361
1198	10205	32351
1199	10213	32341
1200	10221	32331
1201	10229	32322
1202	10237	32312
1203	10245	32303
1204	10253	32292
1205	10262	32283
1206	10270	32275
1207	10278	32265
1208	10286	32256
1209	10295	32247
1210	10303	32236
1211	10310	32224
1212	10318	32213
1213	10326	32205
1214	10334	32195
1215	10343	32186
1216	10351	32178
1217	10360	32169
1218	10368	32159
1219	10376	32149
1220	10384	32139
1221	10392	32128
1222	10399	32117
1223	10407	32107
1224	10415	32097
1225	10424	32089
1226	10432	32080
1227	10440	32071
1228	10450	32066
1229	10458	32057
1230	10467	32048
1231	10475	32038
1232	10483	32028
1233	10491	32017
1234	10499	32008
1235	10507	31998
1236	10515	31987
1237	10523	31979
1238	10531	31969
